PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
307570370,23042137,0,2023-03-22T15:30:00,"1200 Block Elwell St Pittsburgh, PA 15207",N,Lincoln Place,4,99,9999 9999 - (Misc. Incident): ,3102,5,3,-79.915564419443,40.369532738706
307627444,23040500,10,2023-03-19T13:05:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,Point Breeze North,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a)(3) Harassment No Legitimate Purpose / 5503 Disorderly Conduct.,103,6,6,-79.9931846812947,40.4350718208947
306928838,23037886,5,2023-03-14T16:22:00,"400 Block Ormsby St Pittsburgh, PA 15210",Y,Mount Oliver,3,BURGLARY,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 13(a)(16) Possession of Controlled Substance / 3503 Criminal Trespass,1607,3,3,-79.9816232395139,40.412632050652
307497427,23041900,14,2023-03-22T05:44:00,"Penn Ave & N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,CRIM MISCHIEF,3304 Criminal Mischief.,1115,9,2,-79.924821347804,40.4614220740566
307534876,23042096,27,2023-03-22T13:46:00,"S 23rd St & E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1609,3,3,-79.9730401267718,40.4283280934991
307553963,23042170,6,2023-03-22T16:00:00,"6400 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition. / 2701 Simple Assault.,1115,9,2,-79.9174350673146,40.4575134947128
307555580,23042258,0,2023-03-22T18:09:00,"5th Ave & Mc Masters Way Pittsburgh, PA 15222",Y,Central Business District,2,99,601.16 Public Urination And Defecation,201,6,6,-80.0017135985185,40.4412421093434
307574549,23042371,0,2023-03-22T22:38:00,"800 Block Inwood St Pittsburgh, PA 15208",N,Homewood West,5,99,9999 9999 - (Misc. Incident): ,1207,9,2,-79.9049807901523,40.4581829504096
307580757,23042388,99,2023-03-22T23:42:00,"N Mathilda St & Penn Ave Pittsburgh, PA 15224",N,Central Lawrenceville,2,MISCELLANEOUS FIRE VEH INVEST CONTINUED,9122 Miscellaneous Fire Vehicle Investigation to Continue,902,7,2,-79.9464499524183,40.465474427328
307585797,23042478,10,2023-03-23T05:21:00,"2200 Block N Charles St Pittsburgh, PA 15214",N,Perry South,1,TERRORISTIC THREATS,2709(a) Harassment. / 2706 Terroristic Threats.,2615,6,1,-80.0198326968146,40.4632224969601
306884629,23037765,11,2023-03-14T11:39:00,"4200 Block Haldane St Pittsburgh, PA 15207",N,Greenfield,4,THEFT BY DECEPTION,3922 Theft by Deception.,1516,5,3,-79.9430052091778,40.4232529057345
307255818,23040417,99,2023-03-19T09:37:00,"300 Block Wilbur St Pittsburgh, PA 15210",N,Knoxville,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),3001,4,5,-79.9944964654934,40.4077463910565
308914706,23052149,3,2023-04-09T13:31:00,"300 Block Craft Ave Pittsburgh, PA 15213",N,South Oakland,4,ROBBERY,3701 Robbery.,409,3,3,-79.9613530522747,40.4353578534006
308696322,23050408,6,2023-04-06T07:04:00,"5800 Block Lauder St Pittsburgh, PA 15207",Y,Bluff,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 2701 Simple Assault.,3102,,,,
308921454,23052184,26,2023-04-09T14:15:00,"S 7th St & E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1702,3,3,-79.9922421351752,40.4286256581224
308929551,23052232,10,2023-04-09T17:09:00,"Allegheny Ave Pittsburgh, PA 15233",Y,Chateau,1,HARRASSMENT,2709(a) Harassment.,2108,1,1,-80.0195880765646,40.4536167505281
308932951,23052300,10,2023-04-09T19:51:00,"200 Block East Ohio St Pittsburgh, PA 15212",Y,Allegheny Center,1,HARRASSMENT,2709(a) Harassment.,2204,,,,
308934012,23052314,14,2023-04-09T20:30:00,"2000 Block Reed St Pittsburgh, PA 15219",N,Terrace Village,2,CRIM MISCHIEF,3304 Criminal Mischief.,511,,,,
308934896,23052309,10,2023-04-09T20:08:00,"100 Block Marshall Ave Pittsburgh, PA 15214",N,Perry South,1,TERRORISTIC THREATS,2706 Terroristic Threats.,2615,1,1,-80.0297022664413,40.4630653434048
308935403,23052284,27,2023-04-09T18:50:00,"700 Block Casino Dr Pittsburgh, PA 15233",Y,Brighton Heights,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2701,,,,
308935475,23052326,10,2023-04-09T21:00:00,"2000 Block Stonelea St Pittsburgh, PA 15212",Y,Brighton Heights,1,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2701,1,1,-80.0437083382451,40.4844886328188
308935571,23052344,0,2023-04-09T22:15:00,"100 Block Climax St Pittsburgh, PA 15210",N,Beltzhoover,3,99,607.03 Discharging Firearm or Airgun,1809,,,,
308937932,23051996,23,2023-04-09T02:12:00,"S 18th St & Harcum Way Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness,1702,3,3,-79.9807885039761,40.4265250428057
307316415,23040952,0,2023-03-20T12:15:00,"1800 Block Beaver Ave Pittsburgh, PA 15233",N,Chateau,1,99,9994 PFA Service,2108,1,1,-79.9881763088574,40.4647404473121
307436167,23041489,17,2023-03-20T15:00:00,Zone 3,N,,3,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
307607078,23042493,10,2023-03-23T07:00:00,"600 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",201,6,6,-79.9974088316752,40.4415332222525
307917201,23044837,0,2023-03-24T22:00:00,"1000 Block 5th Ave Pittsburgh, PA 15219",N,Central Business District,2,99,9999 9999 - (Misc. Incident): Ejection-Female Fall,201,6,3,-79.9908396644848,40.4385727798308
308962498,23052463,10,2023-04-10T08:12:00,"7200 Block Susquehanna St Pittsburgh, PA 15208",N,Homewood South,5,SIMPLE ASSAULT,2701 Simple Assault.,1303,,,,
308964848,23034453,6,2023-04-10T10:05:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,East Liberty,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,6,6,-79.9960409452176,40.4350395659105
308969957,23052510,6,2023-04-09T12:30:00,"100 Block N Negley Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud,1115,7,2,-79.924731373482,40.4742835282836
307139705,23039272,27,2023-03-17T07:50:00,"600 Block Danbury St Pittsburgh, PA 15214",N,Perry South,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2615,,,,
307143042,23039262,0,2023-03-15T10:55:00,"2500 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,99,3926(a)(4) Theft of services; ACQUISITION OF SERVICES - refusal to pay or offer to pay for a service (hotels and restaurants),2904,4,3,-79.9811511391941,40.3866924905732
307169454,23039541,0,2023-03-17T17:30:00,"3100 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): Custody Dispute,1414,5,3,-79.92188198389,40.4210077015123
307192535,23039737,99,2023-03-17T03:00:00,"700 Block 2nd Ave Pittsburgh, PA 15219",N,Bluff,2,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,103,6,6,-79.9945910498533,40.4353346704734
307207310,23039849,6,2023-03-18T09:15:00,"400 Block Cathedral Ave Pittsburgh, PA 15210",N,Mount Oliver,3,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",1607,3,3,-79.981625839074,40.411955244107
309171447,23053686,27,2023-04-12T09:30:00,"4200 Block Geneva St Pittsburgh, PA 15201",N,Central Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,902,7,2,-79.9557228588635,40.46701800184
309180260,23051525,0,2023-04-08T08:51:00,"600 Block William Penn Pl Pittsburgh, PA 15219",Y,Central Business District,2,99,9999 9999 - (Misc. Incident): Title 35: 5310,201,6,6,-79.9967621399402,40.4411412810082
309207112,23053767,29,2023-04-12T12:40:00,"1200 Block Paulson Ave Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1203,9,2,-79.9032400041143,40.4679352282181
309208889,23053072,10,2023-04-11T09:08:00,"400 Block S Main St Pittsburgh, PA 15220",Y,West End,6,TERRORISTIC THREATS,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats.,2019,2,5,-80.0330943644795,40.4416856571646
307644765,23042675,0,2023-03-23T11:01:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9993 PFA Service with Weapons Supplement,305,6,3,-79.9799824053927,40.4435889103074
307649588,23042703,10,2023-03-23T08:00:00,"4100 Block Evergreen Rd Pittsburgh, PA 15214",N,Summer Hill,1,TERRORISTIC THREATS,2706 Terroristic Threats.,2612,,,,
307671649,23042724,3,2023-03-23T15:00:00,"Cedar Ave & Lockhart St Pittsburgh, PA 15212",N,Allegheny Center,1,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 2701 Simple Assault.,2204,1,1,-80.0013231472598,40.4521570643818
307675551,23042681,99,2023-03-23T13:45:00,"Grant St Ramp & Blvd Of The Allies Pittsburgh, PA 15219",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,6,6,-79.9983661566117,40.4370717537466
307684822,23042755,23,2023-03-23T16:05:00,"Strawberry Way & Coffey Way Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness,201,6,6,-79.998470077674,40.4425889658261
-3629022276,23042768,0,2023-03-23T16:28:00,"1800 Block Fairywood St Pittsburgh, PA 15205",N,Fairywood,6,99,9999 9999 - (Misc. Incident): Dispute over money,2808,,,,
307314889,23040907,5,2023-03-20T10:49:00,"700 Block Fisher St Pittsburgh, PA 15210",Y,Central Business District,3,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,1606,3,3,-79.9772086735761,40.4115109023298
307632311,23042606,0,2023-03-23T11:31:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9999 9999 - (Misc. Incident): Road rage,305,6,3,-79.9799824053927,40.4435889103074
307636404,23042558,27,2023-03-23T10:15:00,"2000 Block Smallman St Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,203,7,6,-79.9844658958601,40.4516605660999
307696187,23042852,27,2023-03-23T18:25:00,"300 Block Spahr St Pittsburgh, PA 15232",N,Shadyside,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,705,8,2,-79.9275366057272,40.4571697556341
307698433,23042291,11,2023-03-23T19:13:00,"900 Block Freeport Rd Pittsburgh, PA 15238",Y,Lincoln-Lemington-Belmar,5,UNSWORN FALSIFI TO AUTHORITIES,4904 Unsworn Falsification to Authorities. / 6111 Sale of Firearms.,1201,9,2,-79.8923529450752,40.4861185015656
307720328,23039077,3,2023-03-16T21:21:00,"5th Ave & Moultrie St Pittsburgh, PA 15219",Y,Bluff,2,ROBBERY,"3701 Robbery. / 2701 Simple Assault. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",103,6,3,-79.9744317839573,40.4380340440585
307740151,23043046,6,2023-03-24T03:10:00,"60 Block Southern Ave Pittsburgh, PA 15211",N,Mount Washington,3,THEFT FROM AUTO,3934 Theft from Vehicle,1914,2,5,-80.0133971866647,40.419963772341
307742243,23043037,6,2023-03-24T07:24:00,"600 Block Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION",201,6,6,-79.9974088316752,40.4415332222525
308134389,23046344,0,2023-03-30T01:20:00,"100 Block Grasmere St Pittsburgh, PA 15205",N,Oakwood,6,99,9994 PFA Service,2812,2,5,-80.0655089067938,40.4280489115865
308169989,23046606,11,2023-03-30T13:49:00,"2800 Block Arlington Ave Pittsburgh, PA 15210",N,Arlington,3,THEFT BY DECEPTION,4106 Access Device Fraud / 3922 Theft by Deception.,1603,3,3,-79.9692680784215,40.4172964366745
308249052,23047164,23,2023-03-31T14:56:00,"600 Block Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness,201,6,6,-79.9974088316752,40.4415332222525
308250804,23047168,23,2023-03-31T15:06:00,"6th Ave & Smithfield Ter Pittsburgh, PA 15222",Y,Crawford-Roberts,2,PUBLIC DRUNKENESS,5505 Public Drunkenness,305,6,6,-79.9977344790324,40.4414644227404
308252017,23047263,0,2023-03-31T17:25:00,"4th Ave & Stanwix St Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-80.0043926047249,40.4405356709099
308258758,23047356,0,2023-03-31T19:55:00,"2800 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,99,9999 9999 - (Misc. Incident): ,509,6,3,-79.969423761028,40.4520111552527
308278250,23045374,17,2023-03-24T10:04:00,Zone 2,N,,2,INDECENT ASSAULT,3126 Indecent Assault.,,,,,
308303458,23047888,2,2023-04-01T06:00:00,Zone 2,N,,2,RAPE,3121 Rape.,,,,,
308326097,23048138,99,2023-04-02T03:35:00,"7400 Block Tioga St Pittsburgh, PA 15208",N,Homewood South,5,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1303,9,2,-79.8947453667841,40.4531251863429
307279756,23040771,0,2023-03-20T02:09:00,"Boyd St & Watson St Pittsburgh, PA 15219",N,Bluff,2,99,9999 9999 - (Misc. Incident):  / 3353 Prohibitions in Specified Places.,103,6,6,-79.9932995671839,40.4383022200662
307318613,23040928,4,2023-03-20T11:35:00,"2100 Block Somers Dr Pittsburgh, PA 15219",N,Central Business District,2,AGG-ASSAULT,2702 Aggravated Assault.,201,,,,
307321698,23040890,99,2023-03-20T07:25:00,"1600 Block Mount Joseph St Pittsburgh, PA 15210",N,Carrick,3,FOUND PROPERTY,9489 Found Property,2901,4,3,-79.9920708138913,40.3995240158
307337267,23040665,6,2023-03-19T19:40:00,"1100 Block Lincoln Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1203,9,2,-79.9000465962757,40.4642436265259
307354264,23041137,0,2023-03-20T17:45:00,"4100 Block Butler St Pittsburgh, PA 15201",N,Central Lawrenceville,2,99,9999 9999 - (Misc. Incident): ,902,7,2,-79.9611056483222,40.469425810564
307359181,23041185,0,2023-03-20T19:13:00,"2900 Block Shadeland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9999 9999 - (Misc. Incident): ,2715,1,1,-80.0304048905528,40.4707029348676
307363260,23040965,0,2023-03-20T20:43:00,"7700 Block Susquehanna St Pittsburgh, PA 15221",N,Homewood South,5,99,9994 PFA Service,1304,9,2,-79.8906376157535,40.4504513741472
307367358,23041300,14,2023-03-20T23:10:00,"800 Block Herron Ave Pittsburgh, PA 15219",N,Upper Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,506,6,3,-79.965857624052,40.4542710412397
307368248,23041290,27,2023-03-20T23:19:00,"2200 Block Mazette Rd Pittsburgh, PA 15205",N,Fairywood,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2808,,,,
307369970,23041332,5,2023-03-21T02:08:00,"2200 Block Woodward Ave Pittsburgh, PA 15226",Y,Brookline,6,BURGLARY,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition. / 3503 Criminal Trespass,1917,4,5,-80.0216281980366,40.4013389248803
307404459,23041434,0,2023-03-21T09:30:00,"2900 Block S Water St Pittsburgh, PA 15203",N,South Side Flats,3,99,9994 PFA Service,1702,3,3,-79.9624687772716,40.4271750177289
307406021,23041435,0,2023-03-21T09:30:00,"2700 Block S Water St Pittsburgh, PA 15203",N,South Side Flats,3,99,9994 PFA Service,1702,3,3,-79.9650866038366,40.4287893718289
307422400,23041524,0,2023-03-21T12:00:00,"700 Block Fisher St Pittsburgh, PA 15210",N,St. Clair,3,99,9994 PFA Service,1606,3,3,-79.9772086735761,40.4115109023298
307422566,23041012,14,2023-03-20T13:56:00,"Warfield St & Province Ter Pittsburgh, PA 15212",Y,North Shore,1,INJURY/TAMP/FIRE APP-HYD-ETC,3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s),2205,,,,
308135776,23046376,0,2023-03-30T03:15:00,"7900 Block Batavia St Pittsburgh, PA 15221",N,East Hills,5,99,8106 Shots Fired,1306,9,2,-79.8854356879293,40.4534517855643
308182341,23046657,99,2023-03-30T17:00:00,"2100 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,MENTAL 201/302,9498 302 (Mental),1609,3,3,-79.9760719669211,40.4283146103026
308185278,23046770,10,2023-03-30T19:20:00,"600 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,HARRASSMENT,2709(a) Harassment.,201,6,6,-79.9948560626431,40.4413629674267
308250545,23047173,10,2023-03-31T14:47:00,"1100 Block Woodbine St Pittsburgh, PA 15201",Y,Stanton Heights,5,HARRASSMENT,2709(a) Harassment.,1005,9,2,-79.9411589576065,40.4781242262492
308261475,23046677,10,2023-03-27T15:00:00,"4800 Block Friendship Ave Pittsburgh, PA 15224",Y,Bloomfield,5,SIMPLE ASSAULT,2701 Simple Assault.,809,7,2,-79.9462630434165,40.4621317678598
308315504,23045468,14,2023-03-28T13:15:00,"100 Block Bakery Square Blvd Ave Pittsburgh, PA 15208",N,Larimer,5,CRIM MISCHIEF,3304 Criminal Mischief.,1208,,,,
308316338,23043238,10,2023-03-31T09:00:00,"100 Block Bakery Square  Blvd Pittsburgh, PA 15208",Y,Larimer,5,HARRASSMENT,2709(a) Harassment.,1208,9,2,-79.9153890993263,40.4561234019546
308351265,23048488,10,2023-04-02T21:38:00,"1100 Block Tyndall St Pittsburgh, PA 15204",Y,Sheraden,6,SIMPLE ASSAULT,2701 Simple Assault.,2022,2,5,-80.0599567770973,40.452609316679
308740401,23050717,0,2023-04-06T19:05:00,"Fort Pitt Blvd Pittsburgh, PA 15211",N,Central Business District,2,99,9998 Overdose Other,201,6,6,-80.0077304434491,40.4392753052772
307755769,23043094,23,2023-03-24T10:21:00,"10th St & Penn Ave Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness,201,6,6,-79.9956124094072,40.4444643657088
307779345,23043224,6,2023-03-23T15:00:00,"1800 Block Forbes Ave Pittsburgh, PA 15219",N,Bluff,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,103,6,3,-79.9813236408135,40.4373720231649
307793482,23043320,0,2023-03-24T17:10:00,"1900 Block Wharton St Pittsburgh, PA 15203",Y,South Side Flats,3,99,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,1702,,,,
307793488,23043215,0,2023-03-24T13:34:00,"Allegheny Sq E Pittsburgh, PA 15212",Y,Allegheny Center,1,99,9999 9999 - (Misc. Incident): ,2204,1,1,-80.0070235171374,40.4515019090912
307757845,23043075,10,2023-03-24T09:25:00,"600 Block Wood St Pittsburgh, PA 15222",Y,Central Business District,2,TERRORISTIC THREATS,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2706 Terroristic Threats. / 13(a)(31) Marijuana: Possession Small Amount / 9501 Bench Warrant",201,6,6,-79.9994765301556,40.4421288556704
307760285,23043096,0,2023-03-24T09:00:00,"10 Block Pride St Pittsburgh, PA 15219",N,Bluff,2,99,9999 9999 - (Misc. Incident): ,103,,,,
307785499,23043250,0,2023-03-24T14:50:00,"Coffey Way & 6th Ave Pittsburgh, PA 15222",Y,Central Business District,2,99,601.16 Public Urination And Defecation,201,6,6,-79.9989223145337,40.4418971269944
307795362,23043307,27,2023-03-17T16:32:00,"Middletown Rd & Ladoga St Pittsburgh, PA 15204",N,Sheraden,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2022,2,5,-80.0694425609658,40.4515768859776
307797659,23043396,18,2023-03-24T19:34:00,"Emlin St & East St Pittsburgh, PA 15212",Y,East Allegheny,1,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession,2304,1,1,-79.9980015551734,40.4544129301944
307798052,23043420,18,2023-03-24T19:34:00,"Emlin St & East St Pittsburgh, PA 15212",Y,East Allegheny,1,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use,2304,1,1,-79.9980015551734,40.4544129301944
307803718,23043514,10,2023-03-25T00:34:00,"600 Block Smithfield St Pittsburgh, PA 15219",Y,Central Business District,2,TERRORISTIC THREATS,"2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 4914 False Identification to Law Enforcement Authorities",201,6,6,-79.9974088316752,40.4415332222525
307804884,23043530,10,2023-03-25T01:15:00,"1600 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,TERRORISTIC THREATS,2706 Terroristic Threats. / 5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 5101 Obstructing Admin. of Law  / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 9999 (Misc. Crime): 5104.2 Evading Arrest or Detention on Foot,1702,3,3,-79.9826498409866,40.428754714415
308155630,23046523,0,2023-03-30T11:00:00,"200 Block Fern St Pittsburgh, PA 15224",N,Garfield,5,99,9994 PFA Service,1016,9,2,-79.9373879984685,40.471784234564
308157289,23046552,0,2023-03-30T13:00:00,"5300 Block Kincaid St Pittsburgh, PA 15224",N,Garfield,5,99,9994 PFA Service,1017,,,,
308186198,23046666,10,2023-03-26T11:00:00,"100 Block S Highland Ave Pittsburgh, PA 15206",Y,East Liberty,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1115,7,2,-79.919381630796,40.4726220390404
308195223,23046872,6,2023-03-30T13:30:00,"Perrysville Ave & Buena Vista St Pittsburgh, PA 15214",N,Perry South,1,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",2614,6,1,-80.0137692163012,40.4631189107658
308356677,23048590,0,2023-04-03T04:00:00,"3200 Block Josephine St Pittsburgh, PA 15203",Y,South Side Slopes,3,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment / 4581 Restraint Systems. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3809(a) Restriction on Alcoholic Beverages in Vehicle,1608,3,3,-79.9642364633424,40.4200122455481
308528627,23049530,99,2023-04-04T18:05:00,"3000 Block Brighton Rd Pittsburgh, PA 15212",N,Marshall-Shadeland,1,AIDED CASE,9497 Aided Case,2715,1,1,-80.0286471828999,40.4734857131497
307513850,23042012,0,2023-03-22T11:00:00,"10 Block Cedricton St Pittsburgh, PA 15210",N,Carrick,3,99,9993 PFA Service with Weapons Supplement,2901,4,3,-79.9912512183872,40.4051980625356
307530145,23042071,99,2023-03-21T18:00:00,"500 Block Boggs Ave Pittsburgh, PA 15211",N,Mount Washington,3,FOUND PROPERTY,9489 Found Property,1914,2,5,-80.0101142012155,40.4229592987074
